"Eastern Date Hour","Zone Name","DAM Forecast Load","GMT Start Hour"
"2013/01/01 09:00:00","NORTH","816","14"
"2013/01/01 09:00:00","WEST","1627","14"
"2013/01/01 10:00:00","CAPITL","1297","15"
"2013/01/01 10:00:00","CENTRL","1754","15"
"2013/01/01 10:00:00","DUNWOD","629","15"
"2013/01/01 10:00:00","GENESE","992","15"
"2013/01/01 10:00:00","HUD VL","1107","15"
"2013/01/01 10:00:00","LONGIL","2199","15"
"2013/01/01 10:00:00","MHK VL","899","15"
"2013/01/01 10:00:00","MILLWD","354","15"
"2013/01/01 10:00:00","N.Y.C.","5262","15"
"2013/01/01 10:00:00","NORTH","835","15"
"2013/01/01 10:00:00","WEST","1691","15"
"2013/01/01 11:00:00","CAPITL","1334","16"
"2013/01/01 11:00:00","CENTRL","1808","16"
"2013/01/01 11:00:00","DUNWOD","651","16"
"2013/01/01 11:00:00","GENESE","1028","16"
"2013/01/01 11:00:00","HUD VL","1140","16"
"2013/01/01 11:00:00","LONGIL","2320","16"
"2013/01/01 11:00:00","MHK VL","922","16"
"2013/01/01 11:00:00","MILLWD","369","16"
"2013/01/01 11:00:00","N.Y.C.","5420","16"
"2013/01/01 11:00:00","NORTH","839","16"
"2013/01/01 11:00:00","WEST","1735","16"
"2013/01/01 12:00:00","CAPITL","1352","17"
"2013/01/01 12:00:00","CENTRL","1830","17"
"2013/01/01 12:00:00","DUNWOD","657","17"
"2013/01/01 12:00:00","GENESE","1047","17"
"2013/01/01 12:00:00","HUD VL","1153","17"
"2013/01/01 12:00:00","LONGIL","2386","17"
"2013/01/01 12:00:00","MHK VL","932","17"
"2013/01/01 12:00:00","MILLWD","377","17"
"2013/01/01 12:00:00","N.Y.C.","5515","17"
"2013/01/01 12:00:00","NORTH","836","17"
"2013/01/01 12:00:00","WEST","1779","17"
"2013/01/01 13:00:00","CAPITL","1351","18"
"2013/01/01 13:00:00","CENTRL","1845","18"
"2013/01/01 13:00:00","DUNWOD","661","18"
"2013/01/01 13:00:00","GENESE","1061","18"
"2013/01/01 13:00:00","HUD VL","1151","18"
"2013/01/01 13:00:00","LONGIL","2390","18"
"2013/01/01 13:00:00","MHK VL","928","18"
"2013/01/01 13:00:00","MILLWD","378","18"
"2013/01/01 13:00:00","N.Y.C.","5585","18"
"2013/01/01 13:00:00","NORTH","836","18"
"2013/01/01 13:00:00","WEST","1794","18"
"2013/01/01 14:00:00","CAPITL","1336","19"
"2013/01/01 14:00:00","CENTRL","1848","19"
"2013/01/01 14:00:00","DUNWOD","665","19"
"2013/01/01 14:00:00","GENESE","1061","19"
"2013/01/01 14:00:00","HUD VL","1144","19"
"2013/01/01 14:00:00","LONGIL","2382","19"
"2013/01/01 14:00:00","MHK VL","922","19"
"2013/01/01 14:00:00","MILLWD","379","19"
"2013/01/01 14:00:00","N.Y.C.","5630","19"
"2013/01/01 14:00:00","NORTH","831","19"
"2013/01/01 14:00:00","WEST","1800","19"
"2013/01/01 15:00:00","CAPITL","1349","20"
"2013/01/01 15:00:00","CENTRL","1865","20"
"2013/01/01 15:00:00","DUNWOD","665","20"
"2013/01/01 15:00:00","GENESE","1072","20"
"2013/01/01 15:00:00","HUD VL","1147","20"
"2013/01/01 15:00:00","LONGIL","2395","20"
"2013/01/01 15:00:00","MHK VL","927","20"
"2013/01/01 15:00:00","MILLWD","383","20"
"2013/01/01 15:00:00","N.Y.C.","5670","20"
"2013/01/01 15:00:00","NORTH","838","20"
"2013/01/01 15:00:00","WEST","1808","20"
"2013/01/01 16:00:00","CAPITL","1448","21"
"2013/01/01 16:00:00","CENTRL","1950","21"
"2013/01/01 16:00:00","DUNWOD","695","21"
"2013/01/01 16:00:00","GENESE","1123","21"
"2013/01/01 16:00:00","HUD VL","1199","21"
"2013/01/01 16:00:00","LONGIL","2521","21"
